cik,entityName,ticker,stateOfIncorporation,sic,sicDescription,industryCategory,fiscalYear,period,Revenues,NetIncomeLoss,OperatingIncomeLoss,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,ResearchAndDevelopmentExpense,OperatingCashFlow,Goodwill,IntangibleAssetsNetExcludingGoodwill,PatentsIssued,dataCompleteness,dataFreshness,yearAvailability,file_path
1644963,"AVENUE THERAPEUTICS, INC.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2025,FY,,-1852000,-1905000,3594000,1262000,3510000,3502000,411000,-1186000,,,,83.33333333,Recent,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001644963.json
1644963,"AVENUE THERAPEUTICS, INC.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2024,FY,,-10108000,-11283000,2672000,816000,2797000,2594000,6645000,-9026000,,,,83.33333333,Recent,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001644963.json
1644963,"AVENUE THERAPEUTICS, INC.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2023,FY,,-10377000,-14540000,1850000,1196000,1582000,1783000,6131000,-9451000,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001644963.json
1644963,"AVENUE THERAPEUTICS, INC.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2022,FY,,-3552000,-8043000,6845000,3579000,3905000,6708000,2698000,-7596000,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001644963.json
1644963,"AVENUE THERAPEUTICS, INC.",,Massachusetts,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2021,FY,,-3731000,-3738000,3960000,509000,3451000,3763000,1254000,-3750000,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001644963.json
1644963,"AVENUE THERAPEUTICS, INC.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2020,FY,,-5151000,-5213000,3245000,886000,2359000,3132000,2866000,-4613000,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001644963.json
1644963,"AVENUE THERAPEUTICS, INC.",,"Delaware, …tats-Unis",5123,Wholesale Pharmaceuticals,Pharmaceuticals,2019,FY,,-25908000,-26265000,8915000,2115000,6800000,8745000,22194000,-26259000,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001644963.json
1325879,"AVEO Pharmaceuticals, Inc.",,Massachusetts,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2022,FY,20000000,-21784000,-18333000,101233000,72388000,28845000,77398000,33552000,-10477000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001325879.json
1325879,"AVEO Pharmaceuticals, Inc.",,Massachusetts,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2021,FY,35000000,-53342000,-49554000,105341000,59471000,45870000,70542000,26298000,-57257000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001325879.json
1325879,"AVEO Pharmaceuticals, Inc.",,Massachusetts,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2020,FY,20000000,-35584000,-38877000,66912000,31618000,35294000,61761000,22679000,-37983000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001325879.json
1325879,"AVEO Pharmaceuticals, Inc.",,…tats-Unis,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2019,FY,28795000,9388000,-374000,50600000,35754000,14846000,29785000,17958000,-2919000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001325879.json
1514946,"AXIM BIOTECHNOLOGIES, INC.",,Delaware,8730,Biotechnology Services,Biotechnology,2024,FY,70458,-2562114,-971006,3727695,13262485,-9534790,,19349,-514048,,,,83.33333333,Recent,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001514946.json
1514946,"AXIM BIOTECHNOLOGIES, INC.",,"Delaware, …tats-Unis",8730,Biotechnology Services,Biotechnology,2023,FY,39518,-8059682,-2750839,4121548,11778195,-7656647,53542,125496,-1030500,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001514946.json
1514946,"AXIM BIOTECHNOLOGIES, INC.",,Delaware,8730,Biotechnology Services,Biotechnology,2022,FY,8875,-6242949,-4652772,4212035,9037447,-4825412,47282,153697,-2044326,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001514946.json
1514946,"AXIM BIOTECHNOLOGIES, INC.",,California,8730,Biotechnology Services,Biotechnology,2021,FY,60460,-16032305,-13974998,5323435,7661635,-2338200,452963,284869,-2486765,0,,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001514946.json
1514946,"AXIM BIOTECHNOLOGIES, INC.",,Delaware,8730,Biotechnology Services,Biotechnology,2020,FY,0,-6409880,-4948998,11314395,9748574,,457181,426708,-3215699,2458233,9738347,,83.33333333,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001514946.json
1514946,"AXIM BIOTECHNOLOGIES, INC.",,Delaware,8730,Biotechnology Services,Biotechnology,2019,FY,799483,-6447557,-6505671,1691899,8452296,,511630,2452506,,,50534,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001514946.json
1579428,"AXSOME THERAPEUTICS, INC.",,"Massachusetts, …tats-Unis",2839,Miscellaneous Biological and Medicinal Products ‚ùóÔ∏èReview,Biotechnology,2025,FY,121463000,-59413000,-56982000,596671000,543466000,53205000,300910000,44785000,-43375000,12042000,45322000,,100,Recent,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001579428.json
1579428,"AXSOME THERAPEUTICS, INC.",,Delaware,2839,Miscellaneous Biological and Medicinal Products ‚ùóÔ∏èReview,Biotechnology,2024,FY,385693000,-287216000,-280562000,568498000,511483000,57015000,315353000,187077000,-128410000,12042000,46894000,,100,Recent,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001579428.json
1579428,"AXSOME THERAPEUTICS, INC.",,…tats-Unis,2839,Miscellaneous Biological and Medicinal Products ‚ùóÔ∏èReview,Biotechnology,2023,FY,31300000,-239238000,-231825000,588236000,397259000,190977000,386193000,97944000,-145080000,12042000,53286000,,100,Standard,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001579428.json
1579428,"AXSOME THERAPEUTICS, INC.",,"Delaware, …tats-Unis",2839,Miscellaneous Biological and Medicinal Products ‚ùóÔ∏èReview,Biotechnology,2022,FY,0,-187133651,-179799055,331476095,221919686,109556409,200841955,57947447,-116510798,10310000,59660772,,100,Standard,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001579428.json
1579428,"AXSOME THERAPEUTICS, INC.",,…tats-Unis,2839,Miscellaneous Biological and Medicinal Products ‚ùóÔ∏èReview,Biotechnology,2021,FY,,-130402992,-124706930,87785058,72154706,15630352,86472854,58060725,-108225764,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001579428.json
1579428,"AXSOME THERAPEUTICS, INC.",,"Delaware, …tats-Unis",2839,Miscellaneous Biological and Medicinal Products ‚ùóÔ∏èReview,Biotechnology,2020,FY,,-102900600,-99141328,186134323,72341414,113792909,183876453,70244579,-78456569,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001579428.json
1579428,"AXSOME THERAPEUTICS, INC.",,…tats-Unis,2839,Miscellaneous Biological and Medicinal Products ‚ùóÔ∏èReview,Biotechnology,2019,FY,,-68345186,-67245097,220549760,41827371,178722389,219966167,53647067,-46375059,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001579428.json
1100397,"AYALA PHARMACEUTICALS, INC.",,Philippines,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2023,FY,13000,-48072000,-36266000,16579000,,-24417000,4882000,24081000,-29485000,4500000,3898000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001100397.json
1100397,"AYALA PHARMACEUTICALS, INC.",,Philippines,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2022,FY,250000,-14359000,-19310000,25930000,2303000,23627000,25208000,7616000,-15284000,,110000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001100397.json
1100397,"AYALA PHARMACEUTICALS, INC.",,Philippines,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2021,FY,3240000,-17862000,-18786000,46780000,7892000,38888000,41614000,10562000,-15439000,,3354000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001100397.json
1100397,"AYALA PHARMACEUTICALS, INC.",,Philippines,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2020,FY,253000,-26469000,-26449000,38526000,8346000,30180000,25178000,15612000,-21940000,,3261000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001100397.json
1100397,"AYALA PHARMACEUTICALS, INC.",,Philippines,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2019,FY,20884000,-16612000,-17972000,45257000,5726000,39531000,32363000,26677000,-36128000,,4575000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001100397.json
1385818,"AYTU BIOPHARMA, INC",,Delaware,2839,Miscellaneous Biological and Medicinal Products ‚ùóÔ∏èReview,Biotechnology,2025,FY,51247000,6256000,-204000,124201000,,34898000,18173000,1110000,-4740000,,48711000,,100,Recent,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001385818.json
1385818,"AYTU BIOPHARMA, INC",,"Delaware, …tats-Unis",2839,Miscellaneous Biological and Medicinal Products ‚ùóÔ∏èReview,Biotechnology,2024,FY,81002000,-15844000,-5254000,118095000,100721000,27716000,20006000,2791000,-1388000,0,52453000,,100,Recent,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001385818.json
1385818,"AYTU BIOPHARMA, INC",,Delaware,2839,Miscellaneous Biological and Medicinal Products ‚ùóÔ∏èReview,Biotechnology,2023,FY,107399000,-17051000,-17065000,136463000,97106000,39357000,22985000,4095000,-5129000,0,58970000,,100,Standard,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001385818.json
1385818,"AYTU BIOPHARMA, INC",,Delaware,2839,Miscellaneous Biological and Medicinal Products ‚ùóÔ∏èReview,Biotechnology,2022,FY,96669000,-110173000,-111561000,137623000,91531000,46092000,19360000,14439000,-28823000,0,70632000,,100,Standard,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001385818.json
1385818,"AYTU BIOPHARMA, INC",,"Delaware, …tats-Unis",2839,Miscellaneous Biological and Medicinal Products ‚ùóÔ∏èReview,Biotechnology,2021,FY,42150000,-58289000,-58870000,265668000,128100000,137568000,49649000,5623000,-25964000,65802000,85464000,,100,Standard,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001385818.json
1385818,"AYTU BIOPHARMA, INC",,Ireland,2839,Miscellaneous Biological and Medicinal Products ‚ùóÔ∏èReview,Biotechnology,2020,FY,27632080,-13620679,-21130546,152836330,57821034,95015296,48081715,1721419,-28373887,28090407,,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001385818.json
1385818,"AYTU BIOPHARMA, INC",,Delaware,2839,Miscellaneous Biological and Medicinal Products ‚ùóÔ∏èReview,Biotechnology,2019,FY,5604612,-12600007,-12266642,38338067,22300888,16037179,14647402,413808,-10357501,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001385818.json
1703057,AbCellera Biologics Inc.,,"Californie, …tats-Unis",5123,Wholesale Pharmaceuticals,Biotechnology,2025,FY,4235000,-45621000,-62660000,1344208000,321226000,1022982000,159266000,42496000,-11554000,47806000,41192000,,100,Recent,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001703057.json
1703057,AbCellera Biologics Inc.,,Canada,5123,Wholesale Pharmaceuticals,Biotechnology,2024,FY,28833000,-162857000,-314766000,1360553000,304469000,1056084000,156325000,167259000,-108556000,47806000,42113000,,100,Recent,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001703057.json
1703057,AbCellera Biologics Inc.,,Canada,5123,Wholesale Pharmaceuticals,Biotechnology,2023,FY,38025000,-146398000,-237207000,1488094000,335776000,1152318000,133320000,175658000,-43877000,47806000,120425000,,100,Standard,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001703057.json
1703057,AbCellera Biologics Inc.,,…tats-Unis,5123,Wholesale Pharmaceuticals,Biotechnology,2022,FY,485424000,158519000,216511000,1540907000,307630000,1233277000,386535000,107879000,277360000,47806000,131502000,,100,Standard,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001703057.json
1703057,AbCellera Biologics Inc.,,Canada,5123,Wholesale Pharmaceuticals,Biotechnology,2021,FY,375203000,153464000,204413000,1318569000,292836000,1025733000,476142000,62062000,244584000,47806000,148392000,,100,Standard,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001703057.json
1630970,"Accelerated Pharma, Inc.",,"Delaware, …tats-Unis",5123,Wholesale Pharmaceuticals,Pharmaceuticals,2019,FY,,-663358,-288455,14243,8525958,-8511715,14117,57714,-225332,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001630970.json
1830749,Achilles Therapeutics plc,,Ireland,8735,Regenerative Medicine Research ‚ùóÔ∏èReview,Biotechnology,2024,FY,,-28654000,-32098000,131186000,15711000,115475000,95111000,23775000,-34813000,,,,83.33333333,Recent,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001830749.json
1830749,Achilles Therapeutics plc,,Royaume-Uni,8735,Regenerative Medicine Research ‚ùóÔ∏èReview,Biotechnology,2023,FY,,-69665000,-75255000,161456000,19087000,142369000,131539000,58246000,-48449000,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001830749.json
1830749,Achilles Therapeutics plc,,Ireland,8735,Regenerative Medicine Research ‚ùóÔ∏èReview,Biotechnology,2022,FY,,-71176000,-78383000,220358000,23314000,197044000,173338000,57263000,-59535000,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001830749.json
1830749,Achilles Therapeutics plc,,Ireland,8735,Regenerative Medicine Research ‚ùóÔ∏èReview,Biotechnology,2021,FY,,-61099000,-64195000,317106000,27578000,289528000,266319000,42224000,-59284000,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001830749.json
1557746,"Aclaris Therapeutics, Inc.",,"Delaware, …tats-Unis",2839,Miscellaneous Biological and Medicinal Products,Pharmaceuticals,2025,FY,1455000,-15085000,-18084000,198094000,54028000,144066000,30357000,11584000,-13057000,,,,100,Recent,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001557746.json
1557746,"Aclaris Therapeutics, Inc.",,"Delaware, …tats-Unis",2839,Miscellaneous Biological and Medicinal Products,Pharmaceuticals,2024,FY,18720000,-132065000,-141932000,220327000,64773000,155554000,24570000,33586000,-20075000,,,,100,Recent,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001557746.json
1557746,"Aclaris Therapeutics, Inc.",,Delaware,2839,Miscellaneous Biological and Medicinal Products,Biotechnology,2023,FY,31249000,-88481000,-97357000,197405000,40226000,157179000,39878000,98384000,-78325000,,269000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001557746.json
1557746,"Aclaris Therapeutics, Inc.",,Delaware,2839,Miscellaneous Biological and Medicinal Products,Biotechnology,2022,FY,29752000,-86908000,-89854000,254596000,56975000,197621000,45277000,77813000,-67567000,,6973000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001557746.json
1557746,"Aclaris Therapeutics, Inc.",,…tats-Unis,2839,Miscellaneous Biological and Medicinal Products,Biopharmaceuticals,2021,FY,6761000,-90865000,-89723000,251211000,53870000,197341000,27349000,43813000,-52134000,,7048000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001557746.json
1557746,"Aclaris Therapeutics, Inc.",,Delaware,2839,Miscellaneous Biological and Medicinal Products,Biotechnology,2020,FY,6482000,-51015000,-50912000,70784000,33134000,37650000,22063000,31731000,-38633000,,7123000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001557746.json
1557746,"Aclaris Therapeutics, Inc.",,Delaware,2839,Miscellaneous Biological and Medicinal Products,Pharmaceuticals,2019,FY,4227000,-161354000,-111058000,98297000,28385000,69912000,75015000,64899000,-96445000,18504000,7199000,,100,Standard,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001557746.json
1008848,"Acorda Therapeutics, Inc.",,Delaware,2839,Miscellaneous Biological and Medicinal Products,Biotechnology,2024,FY,20289000,-27395000,-19628000,81575000,,-185771000,9364000,954000,-20185000,,22343000,,100,Recent,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001008848.json
1008848,"Acorda Therapeutics, Inc.",,"New Jersey, …tats-Unis",2839,Miscellaneous Biological and Medicinal Products,Pharmaceuticals,2023,FY,117633000,-252854000,-264952000,108525000,,-157956000,29979000,5152000,-13984000,,22987000,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001008848.json
1008848,"Acorda Therapeutics, Inc.",,"New Jersey, …tats-Unis",2839,Miscellaneous Biological and Medicinal Products,Biotechnology,2022,FY,118566000,-65916000,-35340000,395595000,,93622000,37536000,5804000,-20924000,,305087000,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001008848.json
1008848,"Acorda Therapeutics, Inc.",,Delaware,2839,Miscellaneous Biological and Medicinal Products,Biotechnology,2021,FY,129071000,-103954000,-79038000,455470000,,151137000,45634000,10420000,-41348000,,335980000,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001008848.json
1008848,"Acorda Therapeutics, Inc.",,New Jersey,2839,Miscellaneous Biological and Medicinal Products,Biotechnology,2020,FY,152967000,-99594000,-78076000,632680000,,237955000,71369000,23012000,-61006000,,366981000,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001008848.json
1008848,"Acorda Therapeutics, Inc.",,Delaware,2839,Miscellaneous Biological and Medicinal Products,Pharmaceuticals,2019,FY,192408000,-272966000,-311632000,799718000,,310820000,62085000,60083000,-128167000,0,402329000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001008848.json
1781174,"Acrivon Therapeutics, Inc.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2025,FY,,-19680000,-21662000,176349000,15959000,160390000,39154000,15414000,-19535000,,,,83.33333333,Recent,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001781174.json
1781174,"Acrivon Therapeutics, Inc.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2024,FY,,-80556000,-89199000,196588000,19802000,176786000,39818000,63992000,-65669000,,,,83.33333333,Recent,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001781174.json
1781174,"Acrivon Therapeutics, Inc.",,Massachusetts,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2023,FY,,-60388000,-67103000,138265000,17070000,121195000,36015000,46024000,-42641000,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001781174.json
1781174,"Acrivon Therapeutics, Inc.",,Delaware,5123,Wholesale Pharmaceuticals,Biotechnology,2022,FY,,-31167000,-32657000,181226000,10751000,170475000,29519000,,-30117000,,,,66.66666667,Standard,58.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001781174.json
1652935,"Actuate Therapeutics, Inc.",,…tats-Unis,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2025,FY,,-6317024,-6365584,4483039,9570776,-5087737,3889405,3220319,-4618740,,,,83.33333333,Recent,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001652935.json
1652935,"Actuate Therapeutics, Inc.",,…tats-Unis,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2024,FY,,-27285328,-25160734,9318448,9214262,104186,8641622,18676276,-21842648,,,,83.33333333,Recent,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001652935.json
1576885,"Acumen Pharmaceuticals, Inc.",,"Delaware, …tats-Unis",5123,Wholesale Pharmaceuticals,Pharmaceuticals,2025,FY,,-28796000,-30370000,204478000,48957000,155521000,30159000,25266000,-34121000,,,,83.33333333,Recent,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001576885.json
1576885,"Acumen Pharmaceuticals, Inc.",,…tats-Unis,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2024,FY,,-102329000,-114017000,238992000,57176000,181816000,35627000,93798000,-86215000,,,,83.33333333,Recent,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001576885.json
1576885,"Acumen Pharmaceuticals, Inc.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2023,FY,,-52371000,-61138000,310125000,43152000,266973000,66886000,42318000,-43064000,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001576885.json
1576885,"Acumen Pharmaceuticals, Inc.",,"Delaware, …tats-Unis",5123,Wholesale Pharmaceuticals,Pharmaceuticals,2022,FY,,-42856000,-45237000,196587000,7812000,188775000,157540000,32361000,-35153000,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001576885.json
1576885,"Acumen Pharmaceuticals, Inc.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2021,FY,,-100606000,-19584000,230330000,5147000,225183000,122162000,12305000,-17961000,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001576885.json
1736243,"Acurx Pharmaceuticals,¬†Inc.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2025,FY,,-2149193,,,2494062,2311399,4643887,598798,-2051499,,,,66.66666667,Recent,50,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001736243.json
1736243,"Acurx Pharmaceuticals,¬†Inc.",,United Kingdom,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2024,FY,,-14103103,,3857963,3242842,615121,3706713,5403836,-10383431,,,,83.33333333,Recent,58.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001736243.json
1736243,"Acurx Pharmaceuticals,¬†Inc.",,Delaware,5123,Wholesale Pharmaceuticals,Biotechnology,2023,FY,,-14577768,,7709123,3042438,4666685,7474188,6043597,-9800885,,,,83.33333333,Standard,58.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001736243.json
1736243,"Acurx Pharmaceuticals,¬†Inc.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2022,FY,,-12092776,,9376706,2061685,7315021,9111751,4754271,-7542290,,,,83.33333333,Standard,58.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001736243.json
1736243,"Acurx Pharmaceuticals,¬†Inc.",,…tats-Unis,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2021,FY,,-12747697,,13254150,843909,,14459046,2030177,-5013697,,,,66.66666667,Standard,50,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001736243.json
1328143,"Adamas Pharmaceuticals, Inc.",,"Delaware, …tats-Unis",5123,Wholesale Pharmaceuticals,Pharmaceuticals,2021,FY,67179000,-44435000,-24316000,143977000,165583000,-21606000,78623000,4485000,-36486000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001328143.json
1328143,"Adamas Pharmaceuticals, Inc.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2020,FY,74461000,-57403000,-44164000,120029000,170005000,-49976000,71660000,9746000,-50708000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001328143.json
1328143,"Adamas Pharmaceuticals, Inc.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2019,FY,54637000,-105186000,-92235000,162158000,163051000,-893000,65774000,30034000,-80779000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001328143.json
